,Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares
269,2016,4,Córdoba,19.44,63.5
270,2016,4,Corrientes,9.41,35.72
271,2016,4,Entre Ríos,16.65,55.69
272,2016,4,Formosa,7.01,27.54
273,2016,4,Jujuy,7.62,29.81
274,2016,4,La Pampa,23.99,72.81
275,2016,4,La Rioja,10.07,37.83
276,2016,4,Mendoza,19.89,71.28
277,2016,4,Misiones,9.52,34.94
278,2016,4,Neuquén,16.1,54.08
279,2016,4,Río Negro,20.42,66.39
280,2016,4,Salta,10.25,42.32
281,2016,4,San Juan,15.19,59.65
282,2016,4,San Luis,11.08,38.72
283,2016,4,Santa Cruz,14.17,47.62
284,2016,4,Santa Fe,21.61,68.73
285,2016,4,Santiago del Estero,6.84,27.57
286,2016,4,Tierra del Fuego,24.61,83.01
287,2016,4,Tucumán,13.04,52.65
288,2017,1,Buenos Aires,29.04,91.2
289,2017,1,Capital Federal,52.62,123.37
290,2017,1,Catamarca,9.68,38.05
291,2017,1,Chaco,8.86,33.16
292,2017,1,Chubut,21.36,69.67
293,2017,1,Córdoba,19.56,63.87
294,2017,1,Corrientes,9.47,35.97
295,2017,1,Entre Ríos,16.77,56.1
296,2017,1,Formosa,7.06,27.73
297,2017,1,Jujuy,7.69,30.07
298,2017,1,La Pampa,24.15,73.3
299,2017,1,La Rioja,10.18,38.23
300,2017,1,Mendoza,20.06,71.88
301,2017,1,Misiones,9.6,35.26
302,2017,1,Neuquén,16.27,54.66
303,2017,1,Río Negro,20.64,67.09
304,2017,1,Salta,10.35,42.75
305,2017,1,San Juan,15.32,60.16
306,2017,1,San Luis,11.19,39.11
307,2017,1,Santa Cruz,14.47,48.61
308,2017,1,Santa Fe,21.72,69.06
309,2017,1,Santiago del Estero,6.9,27.79
310,2017,1,Tierra del Fuego,25.11,84.69
311,2017,1,Tucumán,13.17,53.16
312,2017,2,Buenos Aires,29.22,91.58
313,2017,2,Capital Federal,51.66,121.27
314,2017,2,Catamarca,9.63,37.85
315,2017,2,Chaco,8.92,33.37
316,2017,2,Chubut,20.0,65.24
317,2017,2,Córdoba,19.52,63.75
318,2017,2,Corrientes,9.49,36.03
319,2017,2,Entre Ríos,16.88,56.44
320,2017,2,Formosa,6.97,27.4
321,2017,2,Jujuy,7.66,29.96
322,2017,2,La Pampa,23.69,71.89
323,2017,2,La Rioja,10.17,38.19
324,2017,2,Mendoza,19.42,69.6
325,2017,2,Misiones,9.19,33.73
326,2017,2,Neuquén,15.75,52.92
327,2017,2,Río Negro,19.92,64.77
328,2017,2,Salta,10.31,42.56
329,2017,2,San Juan,14.37,56.4
330,2017,2,San Luis,11.03,38.53
331,2017,2,Santa Cruz,13.46,45.23
332,2017,2,Santa Fe,21.67,68.91
333,2017,2,Santiago del Estero,7.04,28.38
334,2017,2,Tierra del Fuego,24.32,82.01
335,2017,2,Tucumán,13.04,52.65
336,2017,3,Buenos Aires,28.33,88.63
337,2017,3,Capital Federal,52.45,123.09
338,2017,3,Catamarca,9.68,38.05
339,2017,3,Chaco,8.88,33.23
340,2017,3,Chubut,20.41,66.58
341,2017,3,Córdoba,19.5,63.68
342,2017,3,Corrientes,9.48,35.98
343,2017,3,Entre Ríos,16.81,56.22
344,2017,3,Formosa,7.04,27.67
345,2017,3,Jujuy,7.67,29.98
346,2017,3,La Pampa,23.88,72.49
347,2017,3,La Rioja,10.17,38.21
348,2017,3,Mendoza,19.77,70.85
349,2017,3,Misiones,9.17,33.68
350,2017,3,Neuquén,16.14,54.22
351,2017,3,Río Negro,20.25,65.84
352,2017,3,Salta,10.31,42.57
353,2017,3,San Juan,15.01,58.92
354,2017,3,San Luis,11.12,38.84
355,2017,3,Santa Cruz,13.51,45.4
356,2017,3,Santa Fe,21.57,68.6
357,2017,3,Santiago del Estero,6.97,28.1
358,2017,3,Tierra del Fuego,24.69,83.27
359,2017,3,Tucumán,13.08,52.81
360,2017,4,Buenos Aires,28.86,90.08
361,2017,4,Capital Federal,52.87,125.25
362,2017,4,Catamarca,9.61,37.79
363,2017,4,Chaco,8.79,32.9
364,2017,4,Chubut,21.07,68.73
365,2017,4,Córdoba,19.44,63.5
366,2017,4,Corrientes,9.41,35.72
367,2017,4,Entre Ríos,16.65,55.69
368,2017,4,Formosa,7.01,27.54
369,2017,4,Jujuy,7.62,29.81
370,2017,4,La Pampa,23.99,72.81
371,2017,4,La Rioja,10.07,37.83
372,2017,4,Mendoza,19.89,71.28
373,2017,4,Misiones,9.52,34.94
374,2017,4,Neuquén,16.1,54.08
375,2017,4,Río Negro,20.42,66.39
376,2017,4,Salta,10.25,42.32
377,2017,4,San Juan,15.19,59.65
378,2017,4,San Luis,11.08,38.72
379,2017,4,Santa Cruz,14.17,47.62
380,2017,4,Santa Fe,21.61,68.73
381,2017,4,Santiago del Estero,6.84,27.57
382,2017,4,Tierra del Fuego,24.61,83.01
383,2017,4,Tucumán,13.04,52.65
384,2018,1,Buenos Aires,25.89,79.97
385,2018,1,Capital Federal,56.48,134.65
386,2018,1,Catamarca,9.43,37.07
387,2018,1,Chaco,8.42,31.5
388,2018,1,Chubut,19.16,62.5
389,2018,1,Córdoba,18.85,61.55
390,2018,1,Corrientes,9.07,34.44
391,2018,1,Entre Ríos,15.9,53.19
392,2018,1,Formosa,6.76,26.56
393,2018,1,Jujuy,7.23,28.27
394,2018,1,La Pampa,21.42,65.02
395,2018,1,La Rioja,9.43,35.43
396,2018,1,Mendoza,18.56,66.49
397,2018,1,Misiones,8.42,30.9
398,2018,1,Neuquén,15.1,50.72
399,2018,1,Río Negro,19.28,62.69
400,2018,1,Salta,9.7,40.03
401,2018,1,San Juan,15.12,59.37
402,2018,1,San Luis,8.98,31.38
403,2018,1,Santa Cruz,12.83,43.11
404,2018,1,Santa Fe,19.84,63.11
405,2018,1,Santiago del Estero,5.98,24.11
406,2018,1,Tierra del Fuego,20.41,68.83
407,2018,1,Tucumán,13.03,52.62
408,2018,2,Buenos Aires,26.06,80.31
409,2018,2,Capital Federal,56.81,135.61
410,2018,2,Catamarca,9.36,36.78
411,2018,2,Chaco,8.31,31.08
412,2018,2,Chubut,19.58,63.88
413,2018,2,Córdoba,18.58,60.68
414,2018,2,Corrientes,9.0,34.17
415,2018,2,Entre Ríos,15.72,52.57
416,2018,2,Formosa,6.68,26.25
417,2018,2,Jujuy,7.12,27.85
418,2018,2,La Pampa,21.5,65.25
419,2018,2,La Rioja,9.19,34.51
420,2018,2,Mendoza,18.51,66.32
421,2018,2,Misiones,8.77,32.21
422,2018,2,Neuquén,15.04,50.51
423,2018,2,Río Negro,19.21,62.45
424,2018,2,Salta,9.51,39.27
425,2018,2,San Juan,15.08,59.21
426,2018,2,San Luis,8.95,31.28
427,2018,2,Santa Cruz,12.76,42.88
428,2018,2,Santa Fe,19.7,62.64
429,2018,2,Santiago del Estero,5.77,23.23
430,2018,2,Tierra del Fuego,20.28,68.38
431,2018,2,Tucumán,12.97,52.34
432,2018,3,Buenos Aires,26.08,80.19
433,2018,3,Capital Federal,57.86,138.28
434,2018,3,Catamarca,9.27,36.43
435,2018,3,Chaco,7.75,28.99
436,2018,3,Chubut,19.49,63.59
437,2018,3,Córdoba,18.28,59.71
438,2018,3,Corrientes,8.6,32.65
439,2018,3,Entre Ríos,14.69,49.14
440,2018,3,Formosa,6.61,25.98
441,2018,3,Jujuy,7.02,27.47
442,2018,3,La Pampa,21.45,65.11
443,2018,3,La Rioja,9.0,33.79
444,2018,3,Mendoza,18.46,66.15
445,2018,3,Misiones,8.41,30.87
446,2018,3,Neuquén,14.98,50.34
447,2018,3,Río Negro,19.14,62.22
448,2018,3,Salta,9.31,38.45
449,2018,3,San Juan,15.04,59.04
450,2018,3,San Luis,8.92,31.17
451,2018,3,Santa Cruz,12.66,42.55
452,2018,3,Santa Fe,19.29,61.36
453,2018,3,Santiago del Estero,5.59,22.53
454,2018,3,Tierra del Fuego,20.15,67.95
455,2018,3,Tucumán,12.89,52.05
456,2018,4,Buenos Aires,26.4,80.98
457,2018,4,Capital Federal,57.12,136.67
458,2018,4,Catamarca,9.02,35.48
459,2018,4,Chaco,8.08,30.22
460,2018,4,Chubut,19.5,63.61
461,2018,4,Córdoba,18.14,59.23
462,2018,4,Corrientes,8.77,33.3
463,2018,4,Entre Ríos,15.19,50.79
464,2018,4,Formosa,6.48,25.46
465,2018,4,Jujuy,6.92,27.07
466,2018,4,La Pampa,21.62,65.62
467,2018,4,La Rioja,8.79,33.01
468,2018,4,Mendoza,18.42,66.01
469,2018,4,Misiones,8.41,30.89
470,2018,4,Neuquén,16.78,56.38
471,2018,4,Río Negro,19.07,62.01
472,2018,4,Salta,9.05,37.35
473,2018,4,San Juan,15.01,58.92
474,2018,4,San Luis,10.4,36.34
475,2018,4,Santa Cruz,12.6,42.35
476,2018,4,Santa Fe,19.97,63.51
477,2018,4,Santiago del Estero,7.71,31.05
478,2018,4,Tierra del Fuego,20.02,67.52
479,2018,4,Tucumán,12.65,51.07
480,2019,1,Buenos Aires,20.58,63.0
481,2019,1,Capital Federal,52.1,124.82
482,2019,1,Catamarca,8.81,34.64
483,2019,1,Chaco,7.88,29.5
484,2019,1,Chubut,14.67,47.84
485,2019,1,Córdoba,17.69,57.78
486,2019,1,Corrientes,8.58,32.59
487,2019,1,Entre Ríos,14.88,49.78
488,2019,1,Formosa,6.32,24.81
489,2019,1,Jujuy,6.82,26.68
490,2019,1,La Pampa,18.59,56.42
491,2019,1,La Rioja,8.49,31.89
492,2019,1,Mendoza,12.28,43.99
493,2019,1,Misiones,8.18,30.04
494,2019,1,Neuquén,12.8,42.99
495,2019,1,Río Negro,13.66,44.41
496,2019,1,Salta,8.78,36.23
497,2019,1,San Juan,11.16,43.79
498,2019,1,San Luis,8.58,29.99
499,2019,1,Santa Cruz,9.66,32.47
500,2019,1,Santa Fe,19.58,62.26
501,2019,1,Santiago del Estero,7.55,30.43
502,2019,1,Tierra del Fuego,15.01,50.62
503,2019,1,Tucumán,12.39,50.03
504,2019,2,Buenos Aires,16.33,49.88
505,2019,2,Capital Federal,37.11,89.03
506,2019,2,Catamarca,8.52,33.51
507,2019,2,Chaco,7.69,28.78
508,2019,2,Chubut,14.17,46.22
509,2019,2,Córdoba,17.33,56.6
510,2019,2,Corrientes,8.42,31.96
511,2019,2,Entre Ríos,14.59,48.8
512,2019,2,Formosa,6.13,24.09
513,2019,2,Jujuy,6.73,26.31
514,2019,2,La Pampa,18.19,55.2
515,2019,2,La Rioja,8.14,30.56
516,2019,2,Mendoza,11.82,42.35
517,2019,2,Misiones,7.97,29.27
518,2019,2,Neuquén,12.48,41.94
519,2019,2,Río Negro,13.14,42.71
520,2019,2,Salta,8.52,35.18
521,2019,2,San Juan,10.89,42.75
522,2019,2,San Luis,6.68,23.33
523,2019,2,Santa Cruz,9.27,31.14
524,2019,2,Santa Fe,19.14,60.87
525,2019,2,Santiago del Estero,7.39,29.77
526,2019,2,Tierra del Fuego,14.36,48.44
527,2019,2,Tucumán,12.05,48.63
528,2019,3,Buenos Aires,19.63,59.81
529,2019,3,Capital Federal,48.73,117.04
530,2019,3,Catamarca,7.92,31.15
531,2019,3,Chaco,7.39,27.65
532,2019,3,Chubut,13.75,44.84
533,2019,3,Córdoba,16.42,53.64
534,2019,3,Corrientes,8.19,31.11
535,2019,3,Entre Ríos,14.12,47.24
536,2019,3,Formosa,5.98,23.51
537,2019,3,Jujuy,6.56,25.66
538,2019,3,La Pampa,17.92,54.38
539,2019,3,La Rioja,7.59,28.52
540,2019,3,Mendoza,11.44,40.98
541,2019,3,Misiones,7.67,28.16
542,2019,3,Neuquén,12.23,41.09
543,2019,3,Río Negro,12.74,41.41
544,2019,3,Salta,8.07,33.31
545,2019,3,San Juan,10.65,41.81
546,2019,3,San Luis,7.81,27.28
547,2019,3,Santa Cruz,8.94,30.05
548,2019,3,Santa Fe,18.44,58.65
549,2019,3,Santiago del Estero,7.15,28.82
550,2019,3,Tierra del Fuego,14.8,49.92
551,2019,3,Tucumán,11.46,46.26
552,2019,4,Buenos Aires,19.21,58.41
553,2019,4,Capital Federal,48.12,115.69
554,2019,4,Catamarca,7.53,29.59
555,2019,4,Chaco,7.26,27.16
556,2019,4,Chubut,13.34,43.53
557,2019,4,Córdoba,15.96,52.13
558,2019,4,Corrientes,8.07,30.64
559,2019,4,Entre Ríos,13.89,46.46
560,2019,4,Formosa,5.86,23.04
561,2019,4,Jujuy,6.46,25.25
562,2019,4,La Pampa,20.0,60.7
563,2019,4,La Rioja,7.26,27.27
564,2019,4,Mendoza,11.05,39.6
565,2019,4,Misiones,7.48,27.47
566,2019,4,Neuquén,11.98,40.25
567,2019,4,Río Negro,12.28,39.92
568,2019,4,Salta,7.84,32.38
569,2019,4,San Juan,10.37,40.72
570,2019,4,San Luis,7.49,26.17
571,2019,4,Santa Cruz,8.44,28.36
572,2019,4,Santa Fe,18.25,58.05
573,2019,4,Santiago del Estero,7.03,28.34
574,2019,4,Tierra del Fuego,14.2,47.91
575,2019,4,Tucumán,11.13,44.95
576,2020,1,Buenos Aires,18.65,56.57
577,2020,1,Capital Federal,47.36,114.02
578,2020,1,Catamarca,7.18,28.23
579,2020,1,Chaco,7.0,26.19
580,2020,1,Chubut,12.78,41.7
581,2020,1,Córdoba,15.32,50.03
582,2020,1,Corrientes,7.84,29.78
583,2020,1,Entre Ríos,13.52,45.22
584,2020,1,Formosa,5.73,22.5
585,2020,1,Jujuy,6.25,24.43
586,2020,1,La Pampa,19.79,60.06
587,2020,1,La Rioja,6.91,25.96
588,2020,1,Mendoza,10.62,38.07
589,2020,1,Misiones,7.23,26.54
590,2020,1,Neuquén,11.72,39.37
591,2020,1,Río Negro,11.86,38.55
592,2020,1,Salta,7.58,31.29
593,2020,1,San Juan,10.08,39.59
594,2020,1,San Luis,7.18,25.08
595,2020,1,Santa Cruz,8.1,27.21
596,2020,1,Santa Fe,17.71,56.31
597,2020,1,Santiago del Estero,6.9,27.79
598,2020,1,Tierra del Fuego,13.69,46.18
599,2020,1,Tucumán,10.81,43.63
600,2020,2,Buenos Aires,14.19,42.94
601,2020,2,Capital Federal,30.89,74.44
602,2020,2,Catamarca,8.2,32.25
603,2020,2,Chaco,6.96,26.03
604,2020,2,Chubut,12.41,40.5
605,2020,2,Córdoba,14.83,48.44
606,2020,2,Corrientes,7.79,29.57
607,2020,2,Entre Ríos,13.24,44.28
608,2020,2,Formosa,5.81,22.84
609,2020,2,Jujuy,7.22,28.24
610,2020,2,La Pampa,19.71,59.83
611,2020,2,La Rioja,7.51,28.2
612,2020,2,Mendoza,10.25,36.73
613,2020,2,Misiones,7.01,25.73
614,2020,2,Neuquén,11.47,38.52
615,2020,2,Río Negro,11.8,38.37
616,2020,2,Salta,7.38,30.49
617,2020,2,San Juan,9.89,38.82
618,2020,2,San Luis,6.96,24.34
619,2020,2,Santa Cruz,7.72,25.93
620,2020,2,Santa Fe,17.33,55.1
621,2020,2,Santiago del Estero,6.84,27.57
622,2020,2,Tierra del Fuego,13.19,44.5
623,2020,2,Tucumán,10.8,43.6
624,2020,3,Buenos Aires,18.4,55.56
625,2020,3,Capital Federal,46.58,112.41
626,2020,3,Catamarca,8.08,31.75
627,2020,3,Chaco,6.84,25.6
628,2020,3,Chubut,11.75,38.34
629,2020,3,Córdoba,14.59,47.64
630,2020,3,Corrientes,7.69,29.22
631,2020,3,Entre Ríos,13.06,43.69
632,2020,3,Formosa,5.75,22.6
633,2020,3,Jujuy,6.0,23.46
634,2020,3,La Pampa,19.65,59.65
635,2020,3,La Rioja,7.46,28.01
636,2020,3,Mendoza,9.85,35.3
637,2020,3,Misiones,7.03,25.83
638,2020,3,Neuquén,11.19,37.6
639,2020,3,Río Negro,11.38,36.99
640,2020,3,Salta,7.23,29.84
641,2020,3,San Juan,9.56,37.54
642,2020,3,San Luis,6.76,23.62
643,2020,3,Santa Cruz,7.43,24.97
644,2020,3,Santa Fe,17.63,56.08
645,2020,3,Santiago del Estero,6.77,27.28
646,2020,3,Tierra del Fuego,12.39,41.79
647,2020,3,Tucumán,10.72,43.26
648,2020,4,Buenos Aires,18.35,55.28
