,Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
246,2020,1,Corrientes,9.85,37.41
247,2020,1,Entre Ríos,15.96,53.38
248,2020,1,Formosa,9.82,38.56
249,2020,1,Jujuy,12.71,49.72
250,2020,1,La Pampa,22.35,67.85
251,2020,1,La Rioja,4.81,18.08
252,2020,1,Mendoza,5.2,18.63
253,2020,1,Misiones,11.41,41.88
254,2020,1,Neuquén,11.85,39.8
255,2020,1,Río Negro,14.75,47.97
256,2020,1,Salta,13.19,54.45
257,2020,1,San Juan,3.89,15.28
258,2020,1,San Luis,9.41,32.9
259,2020,1,Santa Cruz,11.94,40.14
260,2020,1,Santa Fe,19.02,60.49
261,2020,1,Santiago del Estero,9.12,36.76
262,2020,1,Tierra del Fuego,24.12,81.36
263,2020,1,Tucumán,6.54,26.4
264,2019,4,Buenos Aires,16.19,49.23
265,2019,4,Capital Federal,29.17,70.13
266,2019,4,Catamarca,9.93,39.03
267,2019,4,Chaco,9.55,35.71
268,2019,4,Chubut,11.4,37.2
269,2019,4,Córdoba,29.79,97.3
270,2019,4,Corrientes,9.84,37.38
271,2019,4,Entre Ríos,15.99,53.48
272,2019,4,Formosa,9.82,38.59
273,2019,4,Jujuy,12.42,48.55
274,2019,4,La Pampa,22.72,68.97
275,2019,4,La Rioja,4.86,18.26
276,2019,4,Mendoza,5.17,18.54
277,2019,4,Misiones,11.53,42.32
278,2019,4,Neuquén,11.65,39.15
279,2019,4,Río Negro,14.9,48.46
280,2019,4,Salta,13.38,55.23
281,2019,4,San Juan,3.8,14.93
282,2019,4,San Luis,9.6,33.53
283,2019,4,Santa Cruz,13.31,44.72
284,2019,4,Santa Fe,18.69,59.45
285,2019,4,Santiago del Estero,9.24,37.24
286,2019,4,Tierra del Fuego,24.32,82.03
287,2019,4,Tucumán,6.74,27.21
288,2019,3,Buenos Aires,15.74,47.95
289,2019,3,Capital Federal,28.07,67.41
290,2019,3,Catamarca,9.9,38.92
291,2019,3,Chaco,9.34,34.93
292,2019,3,Chubut,11.52,37.57
293,2019,3,Córdoba,29.61,96.72
294,2019,3,Corrientes,9.8,37.21
295,2019,3,Entre Ríos,15.73,52.61
296,2019,3,Formosa,9.83,38.61
297,2019,3,Jujuy,11.97,46.81
298,2019,3,La Pampa,23.21,70.43
299,2019,3,La Rioja,5.16,19.39
300,2019,3,Mendoza,5.27,18.87
301,2019,3,Misiones,11.48,42.16
302,2019,3,Neuquén,11.78,39.58
303,2019,3,Río Negro,15.07,49.0
304,2019,3,Salta,13.37,55.2
305,2019,3,San Juan,3.98,15.61
306,2019,3,San Luis,9.85,34.42
307,2019,3,Santa Cruz,13.42,45.11
308,2019,3,Santa Fe,18.66,59.34
309,2019,3,Santiago del Estero,9.24,37.25
310,2019,3,Tierra del Fuego,25.23,85.1
311,2019,3,Tucumán,6.55,26.44
312,2019,2,Buenos Aires,15.48,47.28
313,2019,2,Capital Federal,26.39,63.29
314,2019,2,Catamarca,8.04,31.61
315,2019,2,Chaco,9.11,34.08
316,2019,2,Chubut,14.42,47.05
317,2019,2,Córdoba,28.6,93.42
318,2019,2,Corrientes,9.76,37.08
319,2019,2,Entre Ríos,15.42,51.58
320,2019,2,Formosa,10.19,40.03
321,2019,2,Jujuy,11.62,45.46
322,2019,2,La Pampa,23.4,71.03
323,2019,2,La Rioja,6.67,25.07
324,2019,2,Mendoza,7.1,25.43
325,2019,2,Misiones,11.35,41.68
326,2019,2,Neuquén,12.09,40.62
327,2019,2,Río Negro,14.75,47.94
328,2019,2,Salta,13.2,54.51
329,2019,2,San Juan,5.61,22.04
330,2019,2,San Luis,10.68,37.32
331,2019,2,Santa Cruz,14.76,49.61
332,2019,2,Santa Fe,17.2,54.69
333,2019,2,Santiago del Estero,11.26,45.38
334,2019,2,Tierra del Fuego,27.13,91.52
